latent_dim,modality,orig_index,class_idx,class_name,PC1,PC2,PC3
128,PROT,669,12,monocyte,0.82502013,-0.53951275,0.15630826
128,PROT,670,12,monocyte,0.7753829,-0.44829005,0.13855775
128,PROT,671,12,monocyte,0.8545433,-0.52471,0.1333633
128,PROT,672,12,monocyte,0.5695733,-0.027668731,0.012956909
128,PROT,673,12,monocyte,0.7690268,-0.42393315,0.13791436
128,PROT,674,12,monocyte,0.7540551,-0.46421945,0.13472013
128,PROT,675,12,monocyte,0.7546141,-0.44986778,0.1437475
128,PROT,676,10,macrophage,0.5088495,0.06706598,-0.014694922
128,PROT,677,12,monocyte,0.7614531,-0.46363983,0.12431231
128,PROT,678,12,monocyte,0.7395246,-0.4563319,0.123839244
128,PROT,679,12,monocyte,0.85049355,-0.54299027,0.17641471
128,PROT,680,10,macrophage,0.39140254,0.18782985,-0.036807463
128,PROT,681,12,monocyte,0.76031995,-0.44657147,0.14131626
128,PROT,682,12,monocyte,0.77496505,-0.34878322,0.09632841
128,PROT,683,10,macrophage,0.3742692,0.16296452,-0.030658722
128,PROT,684,12,monocyte,0.75600344,-0.43439305,0.12227897
128,PROT,685,12,monocyte,0.7642728,-0.44864687,0.1270767
128,PROT,686,12,monocyte,0.76753336,-0.42320147,0.15886109
128,PROT,687,10,macrophage,0.38870108,0.1677959,-0.027288511
128,PROT,688,12,monocyte,0.8417561,-0.5311011,0.1655554
128,PROT,689,12,monocyte,0.7583518,-0.45484602,0.13525125
128,PROT,690,12,monocyte,0.7551552,-0.4428473,0.12818377
128,PROT,691,10,macrophage,0.40543345,0.19602647,-0.036681052
128,PROT,692,12,monocyte,0.76266706,-0.44298166,0.13979664
128,PROT,693,12,monocyte,0.83757377,-0.45082882,0.13419765
128,PROT,694,12,monocyte,0.75884765,-0.42353702,0.16139299
128,PROT,695,12,monocyte,0.75578326,-0.44444025,0.12612668
128,PROT,696,12,monocyte,0.7549088,-0.45165235,0.12751432
128,PROT,697,10,macrophage,0.43591738,0.15717629,-0.05581424
128,PROT,698,12,monocyte,0.7571833,-0.44494936,0.14786205
128,PROT,699,12,monocyte,0.81106806,-0.485024,0.16098572
128,PROT,700,10,macrophage,0.3647119,0.1343481,-0.055188086
128,PROT,701,10,macrophage,0.39045098,0.14819366,-0.056298915
128,PROT,702,12,monocyte,0.8593389,-0.5492085,0.14066902
128,PROT,703,12,monocyte,0.824314,-0.53417563,0.15090598
128,PROT,704,12,monocyte,0.7540132,-0.43618214,0.13966775
128,PROT,705,12,monocyte,0.8290975,-0.51667124,0.1563889
128,PROT,706,12,monocyte,0.85364974,-0.5383986,0.16587254
128,PROT,707,12,monocyte,0.8431485,-0.52222604,0.17368619
128,PROT,708,12,monocyte,0.7624892,-0.42639688,0.1279815
128,PROT,709,12,monocyte,0.8371865,-0.5388759,0.15501666
128,PROT,710,12,monocyte,0.7605976,-0.44975784,0.13986337
